ISO3,Country,hdicode,region,hdi_rank_2021,le_1990,le_1991,le_1992,le_1993,le_1994,le_1995,le_1996,le_1997,le_1998,le_1999,le_2000,le_2001,le_2002,le_2003,le_2004,le_2005,le_2006,le_2007,le_2008,le_2009,le_2010,le_2011,le_2012,le_2013,le_2014,le_2015,le_2016,le_2017,le_2018,le_2019,le_2020,le_2021
,Very high human development,,,,73.77665194,73.9318962,74.05884774,73.85263967,74.00715775,74.10300739,74.54155349,74.94542755,75.18793929,75.1510303,75.45605263,75.73067951,75.85943701,75.97951609,76.43205636,76.59899481,77.06334304,77.32208668,77.55553483,77.89509156,78.10701114,78.36532137,78.57875396,78.82219645,79.05761556,79.06243538,79.26493315,79.42884254,79.58276773,79.82266157,78.7897451,78.52130091
,High human development,,,,67.31570143,67.56755221,67.96625976,68.35808104,68.636211,69.02288859,69.28137165,69.63584255,70.03332106,70.28255197,70.60094626,71.11094554,71.41093009,71.66767185,71.79952113,72.30103342,72.618424,72.86684262,73.00575093,73.36495987,73.64595698,73.94087474,74.21223844,74.4637763,74.73224636,74.94407124,75.15267742,75.26152996,75.60060551,75.78582636,75.12054814,74.70909353
,Medium human development,,,,58.75775408,58.99155806,59.59254768,59.88046745,60.25025086,60.6230364,60.92087002,61.37603479,61.83812316,62.36942893,62.70775113,63.04996363,63.5454197,63.94045632,64.33789976,64.75788084,65.10319025,65.41605553,65.62259293,66.18495912,66.63555675,67.04746821,67.46086044,67.8932907,68.41150317,68.89596676,69.31499675,69.69426314,69.99817784,70.21945846,69.51758048,67.4383177
,Low human development,,,,50.35140865,50.60837323,50.46729621,50.60685039,51.070213,51.25349358,51.47984314,51.84887312,51.7958886,52.79189749,53.58421929,54.06423148,54.48452467,55.02245107,55.44605251,55.8244522,56.70829383,57.21259479,57.65508991,58.19894489,58.504333,59.18099387,59.56956573,60.01000142,60.32677112,60.6570805,61.06484347,61.42406101,61.72118054,62.0834259,61.67568989,61.31099104
,Arab States,,,,62.97332448,63.22576399,63.52007881,64.51288159,65.56230878,65.41425103,65.78780721,66.06303722,65.87357513,66.95197717,67.37535802,67.71081462,68.01787701,67.93949507,67.97383563,68.24301807,68.64890921,69.01038382,69.36931619,69.89683138,70.12488103,70.34549693,70.26122758,70.27425276,70.57012745,70.83609903,71.01994013,71.50874364,71.71189135,71.92219424,71.00210472,70.89504009
,East Asia and the Pacific,,,,67.16175806,67.38375357,67.9055119,68.37568844,68.64058024,68.93855231,69.1931325,69.58217702,70.00136982,70.21393514,70.58516488,71.17245978,71.5185241,71.96633714,72.04497418,72.57455975,72.9265894,73.1714711,73.12300445,73.67655642,73.90576458,74.17836919,74.427861,74.67741183,74.93610896,75.15631676,75.35517661,75.41924606,75.8354258,76.03610958,75.96833007,75.57965006
,Europe and Central Asia,,,,67.78196186,67.60933579,66.89609483,66.7182798,67.13673436,67.20057168,67.49656154,67.81707086,68.27580119,68.20536971,68.71868487,69.06491189,69.268587,69.5777154,69.89484037,70.00199203,70.44676286,70.73650192,71.0859166,71.5610961,71.87859568,72.16496436,72.60627374,72.99239646,73.35764936,73.68101479,73.98326167,74.3430047,74.50595855,74.70074075,72.78099154,72.85652591
,Latin America and the Caribbean,,,,67.77056781,68.12720882,68.45899787,68.78697405,69.16666387,69.47750769,69.85250415,70.2135386,70.46740182,70.87337385,71.18959235,71.44723067,71.7983019,71.98392431,72.3068681,72.68033838,72.89027821,73.03211316,73.2547943,73.46017079,73.35365722,73.8409577,74.06765568,74.3169453,74.52173227,74.57989522,74.54423987,74.70557245,74.82347799,75.01490513,73.00831613,72.09988984
,South Asia,,,,58.83049363,59.10222073,59.72784667,60.05862243,60.44175395,60.79189252,61.15325371,61.65939386,62.23387319,62.85800464,63.19576947,63.59942807,64.0653133,64.44530858,64.83802489,65.21739282,65.67228797,65.94328043,66.25072108,66.53467615,67.02508028,67.42581238,67.91594047,68.39543881,68.90584907,69.40738174,69.87472162,70.24546732,70.51701821,70.72231476,69.97290751,67.85553035
,Sub-Saharan Africa,,,,49.8687035,49.98905968,49.90044495,49.81707521,49.72242743,50.03085276,49.9518547,50.10840479,49.96563558,50.38001595,50.98170167,51.25820299,51.61735341,52.15673259,52.72311518,53.34863632,54.02078217,54.65308378,55.2815017,56.02384959,56.6905678,57.42177573,57.98739365,58.53921341,59.01008008,59.42877527,59.95459495,60.34883682,60.73544028,61.12003069,60.72905055,60.11246665
,World,,,,65.14479761,65.29908166,65.58401504,65.75361632,65.98664198,66.18693297,66.44465096,66.78741991,67.06454875,67.34967987,67.67219577,68.02677314,68.30208123,68.58022177,68.84589069,69.18622531,69.56863029,69.82754769,70.0064941,70.4040944,70.67870152,71.00932404,71.289119,71.58126523,71.88620241,72.11179308,72.37089527,72.56895153,72.81611356,73.01209944,72.25729652,71.36546488
