ISO3,Country,hdicode,region,hdi_rank_2021,le_1990,le_1991,le_1992,le_1993,le_1994,le_1995,le_1996,le_1997,le_1998,le_1999,le_2000,le_2001,le_2002,le_2003,le_2004,le_2005,le_2006,le_2007,le_2008,le_2009,le_2010,le_2011,le_2012,le_2013,le_2014,le_2015,le_2016,le_2017,le_2018,le_2019,le_2020,le_2021
CYP,Cyprus,Very High,,29,73.5387,73.7158,74.1774,74.6497,74.7201,75.1329,75.5217,75.8415,76.1824,76.2948,76.568,76.9889,77.4873,77.7879,77.9435,78.1008,78.3708,78.8103,78.9812,79.4006,79.665,79.9991,80.1094,80.4016,80.7706,80.9665,81.0563,81.328,81.382,81.397,81.3905,81.2033
CZE,Czechia,Very High,,32,71.4087,71.9702,72.33,72.853,73.082,73.1775,73.8348,73.9464,74.5531,74.7421,74.9787,75.315,75.4435,75.3972,75.9432,76.1585,76.7109,76.9217,77.1743,77.2598,77.5703,77.8191,78.0058,78.1796,78.755,78.58,78.9967,78.9557,79.0039,79.2433,78.5746,77.7283
DEU,Germany,Very High,,9,75.3588,75.5759,76.0187,76.0959,76.3931,76.5619,76.7922,77.2259,77.5768,77.8056,78.0637,78.4095,78.4827,78.5443,79.1263,79.2618,79.5906,79.7412,79.8261,79.9248,80.0864,80.36,80.5058,80.4633,80.9151,80.5742,80.8471,80.9442,81.1717,81.5584,81.1472,80.6301
DJI,Djibouti,Low,AS,171,55.4983,55.1564,54.4515,55.7737,55.5053,56.3016,56.1862,55.9665,56.1757,56.4268,56.5734,56.9027,57.2147,57.5946,57.7594,58.316,58.7153,59.0242,59.3653,59.6727,60.2587,60.4329,60.8479,61.2212,61.6411,61.957,62.1908,62.7966,63.0381,63.0854,62.6943,62.3049
DMA,Dominica,High,LAC,102,69.852,69.6458,70.2817,70.9373,71.0757,71.5203,71.194,71.6344,71.4715,70.6314,72.6932,71.7132,72.3395,71.4384,72.401,72.2543,72.8479,71.9301,73.3054,72.1702,71.5499,69.6948,70.5383,68.8962,69.4342,68.7266,70.1284,67.5253,73.59,73.5588,73.649,72.814
DNK,Denmark,Very High,,6,74.8636,75.2256,75.2672,75.1877,75.4394,75.2856,75.6623,76.0397,76.4343,76.5763,76.8137,76.9721,77.0973,77.3992,77.7836,78.2243,78.2218,78.348,78.7134,78.9565,79.2459,79.7845,80.0807,80.3042,80.6302,80.738,80.8803,81.1112,80.99,81.4337,81.5449,81.3753
DOM,Dominican Republic,High,LAC,80,67.1102,67.6254,68.0842,68.4715,68.7917,68.9884,69.0969,69.1664,69.0964,69.2794,69.4232,69.6416,69.923,70.2649,70.3305,70.8752,71.1654,71.371,71.6577,71.871,72.0933,72.2212,72.5142,72.7127,72.8665,72.9531,72.9867,73.0629,73.2323,73.5767,72.8894,72.6146
DZA,Algeria,High,AS,91,67.416,67.6875,67.7571,67.7195,67.3614,67.4544,68.7493,69.1706,69.4506,70.0316,70.4779,70.8233,71.2296,71.2868,71.7617,72.0612,72.3336,72.6019,72.9405,73.6196,73.8081,74.1234,74.2024,74.6153,75.11,75.622,75.7318,75.7428,76.0656,76.4742,74.4528,76.3767
ECU,Ecuador,High,LAC,95,69.3477,69.6253,70.1172,70.3451,70.7571,71.0408,71.362,71.6815,72.045,72.4634,72.8394,73.2395,73.6134,73.9751,74.2788,74.5144,74.689,74.8445,74.983,75.1841,75.4301,75.7425,76.0616,76.3694,76.6221,76.7893,76.7634,76.9725,77.0938,77.2971,72.1535,73.67
EGY,Egypt,High,AS,97,64.1459,64.7553,65.0305,65.4677,65.8155,66.312,66.7418,67.1967,67.4709,67.737,68.0074,68.3083,68.5635,68.4021,68.613,68.7786,68.9773,69.128,69.3186,69.48,69.6638,69.8805,70.0848,70.0521,70.4151,70.4831,70.8435,71.3019,71.3669,71.3575,70.9905,70.2207
ERI,Eritrea,Low,SSA,176,49.7688,50.6074,52.4652,53.2341,54.0998,54.9137,55.7564,56.3119,49.1576,43.3974,56.1105,58.2983,58.8113,59.4086,59.8987,60.5968,61.6108,62.1161,62.5731,63.3284,63.7866,64.4017,64.8385,65.0665,65.5995,66.0333,66.2893,66.5773,67.0675,67.2996,67.1334,66.5358
ESP,Spain,Very High,,27,77.0017,77.1299,77.5904,77.7302,78.1166,78.2029,78.3417,78.8534,78.9428,78.9478,79.4172,79.7444,79.8238,79.7548,80.3362,80.3283,80.9725,80.9803,81.2902,81.6408,82.0214,82.1974,82.2112,82.7199,82.858,82.6464,83.0411,83.0295,83.1436,83.5321,82.2892,83.01
EST,Estonia,Very High,,31,69.8312,69.712,69.3445,68.5792,67.8846,68.7257,70.1448,70.732,70.2171,71.1147,71.3298,71.4185,71.8708,72.1579,72.6438,73.1971,73.4792,73.6051,74.412,75.1919,75.7485,76.4681,76.5454,77.1272,77.1406,77.6563,77.8201,77.976,78.1395,78.6693,78.3431,77.1436
ETH,Ethiopia,Low,SSA,175,44.5567,46.1304,46.9015,47.394,47.8607,48.3016,48.9236,49.5138,49.9272,49.4248,50.5378,51.0426,51.5171,52.5326,53.2348,54.0085,55.1491,56.4264,57.5916,58.8043,59.73,60.7206,61.5431,62.3734,62.9046,63.6492,64.3919,64.8383,65.4117,65.8377,65.3705,64.9748
FIN,Finland,Very High,,11,74.9893,75.4071,75.6469,75.8849,76.5748,76.6039,76.8696,77.0641,77.2591,77.4508,77.6712,78.1422,78.2698,78.5333,78.846,78.9713,79.3729,79.3907,79.695,79.831,80.0117,80.3915,80.5008,80.8831,81.0125,81.4178,81.2915,81.4976,81.6266,81.8706,81.8657,82.0381
FJI,Fiji,High,EAP,99,65.5076,65.6434,65.8269,65.9283,66.1246,66.2856,66.4078,66.4478,66.68,66.7627,66.31,66.3399,65.7482,66.1775,66.4243,66.6325,66.8553,66.8261,66.9346,67.0888,67.3276,67.5234,67.5515,67.428,67.3764,66.8436,67.2395,67.7904,67.8096,67.8933,67.9244,67.114
FRA,France,Very High,,28,76.8335,77.0143,77.2958,77.348,77.7678,77.8713,78.0613,78.4254,78.5885,78.7505,79.0472,79.2235,79.4129,79.421,80.3393,80.3394,80.7483,80.9672,81.049,81.1777,81.4275,81.813,81.774,82.0159,82.4761,82.1857,82.4372,82.4732,82.5909,82.7315,82.2104,82.4988
FSM,Micronesia (Federated States of),Medium,EAP,134,67.425,67.619,67.832,68.0589,68.0954,68.5528,68.7764,69.2293,69.465,69.7064,69.769,70.4791,69.4595,70.7605,70.8382,70.8844,71.0932,71.0599,71.1373,71.1122,71.2328,71.318,71.3981,71.4985,71.5287,71.4079,71.5954,71.4666,71.3183,71.0771,70.674,70.71
GAB,Gabon,High,SSA,112,60.3109,60.3968,60.5447,60.7183,60.7012,60.704,60.6118,60.662,60.7897,60.8487,61.069,61.2697,61.2916,61.6706,61.8378,61.9594,62.3746,62.6183,63.0829,63.3032,63.8977,64.0453,64.5871,64.7765,64.9743,65.4599,65.8025,66.1889,66.3064,66.6028,66.5305,65.821
GBR,United Kingdom,Very High,,18,75.7359,75.9098,76.3063,76.1627,76.7221,76.6164,76.8748,77.1418,77.277,77.3757,77.8525,78.1239,78.2411,78.334,78.9045,79.1116,79.355,79.5424,79.6652,80.1668,80.4008,80.8046,80.8659,80.9291,81.1602,80.9238,81.0747,81.1684,81.1254,81.725,80.4345,80.7422
GEO,Georgia,Very High,ECA,63,68.389,68.2447,67.783,67.6557,68.5539,68.8509,68.9738,69.0587,69.1015,69.3194,69.5754,69.6063,70.0244,70.3327,70.5674,71.13,71.394,71.5679,71.3323,71.9498,72.1277,72.3902,72.412,72.6284,73.0993,73.2972,73.5692,73.5701,73.3414,73.4696,72.7653,71.694
GHA,Ghana,Medium,SSA,133,55.6196,56.0118,56.2313,56.416,56.1124,56.5652,56.8201,57.1989,57.6003,58.0302,58.195,58.1072,58.6079,59.1108,59.1914,59.7601,59.9883,60.2243,60.49,60.946,61.1571,61.6517,62.0805,62.4205,63.0447,63.1752,63.8902,64.0131,64.122,64.7401,64.114,63.7954
GIN,Guinea,Low,SSA,182,47.0044,47.5456,48.3626,48.9617,49.1711,49.8658,50.544,51.3556,52.0487,52.3565,52.4794,52.6624,53.2782,53.6779,54.1165,54.6316,55.1082,55.5526,56.044,56.3481,56.7197,57.0191,57.4064,57.7906,57.8858,58.1336,58.7625,59.1093,59.3491,59.7199,59.3273,58.8922
GMB,Gambia,Low,SSA,174,51.3185,52.1265,52.9408,53.748,54.7206,55.464,56.009,56.06,56.5543,56.8155,56.9421,57.0432,57.0798,57.5864,58.0878,58.3935,59.0596,59.3935,60.0817,60.4267,60.7166,61.5257,62.0961,62.1138,62.2688,62.494,63.0127,62.9955,63.04,63.7549,62.6125,62.083
GNB,Guinea-Bissau,Low,SSA,177,47.084,47.4654,47.9205,48.2284,48.156,48.9516,49.0648,47.9974,47.7161,48.0061,50.1209,50.445,50.9855,51.405,52.1496,52.2492,53.3712,54.155,54.6462,55.5415,56.2295,56.9667,57.6901,58.2324,58.6096,59.1282,59.6739,60.0665,60.5016,60.8818,59.9988,59.6523
GNQ,Equatorial Guinea,Medium,SSA,145,50.8598,50.9695,51.1127,51.3077,51.4151,51.5915,51.7268,52.0606,52.3822,52.7524,53.2264,53.6364,54.0851,54.5812,55.0363,55.4644,56.0459,56.5398,57.0742,57.4312,57.8777,58.4121,58.8646,59.2236,59.5947,60.1032,60.4786,60.8205,61.1914,61.6444,60.7083,60.5943
GRC,Greece,Very High,,33,77.2959,77.3694,77.282,77.654,77.8029,77.8214,77.9568,78.3187,78.2311,78.3498,78.3771,78.8359,78.9691,79.0293,79.2893,79.5899,79.7073,79.612,80.049,80.2994,80.5102,80.5469,80.3409,80.9738,81.007,80.6676,81.1617,80.8501,81.3907,81.2489,80.9092,80.1106
GRD,Grenada,High,LAC,68,70.6834,70.9738,71.291,71.5761,71.7856,72.1095,72.3312,72.5677,72.8047,72.9026,72.7829,73.1181,73.167,73.1875,71.7876,73.5214,73.7004,74.3165,74.6558,75.0363,74.9988,75.2947,75.0416,75.1161,74.985,75.0125,74.7622,74.7652,74.8076,74.8632,74.9238,74.9362
GTM,Guatemala,Medium,LAC,135,62.4728,62.7252,62.9135,63.3495,63.726,64.1954,64.8632,65.5357,66.1137,66.8686,67.4459,67.9464,68.3865,68.7969,69.1648,69.1675,69.8124,70.1002,70.3556,70.6414,70.8783,71.1769,71.463,71.728,71.9638,72.103,72.3547,72.5506,72.7257,73.1289,71.7969,69.2368
GUY,Guyana,High,LAC,108,62.4149,62.6219,62.787,63.1518,63.3717,63.1358,63.2051,63.3564,63.8996,64.1698,64.4833,64.7882,64.7275,64.6003,64.9305,65.132,65.6666,66.2535,66.288,66.5625,66.743,66.9818,67.2298,67.4727,67.8818,68.2015,68.384,68.6668,68.8959,69.1239,68.4858,65.6734
HKG,"Hong Kong, China (SAR)",Very High,,4,77.4724,77.6981,78.0148,78.3262,78.7323,79.1505,79.4717,79.7453,80.1369,80.3446,80.7461,81.1114,81.2536,81.2243,81.4125,81.7707,82.0112,82.2309,82.3626,82.5886,82.993,83.2321,83.561,83.8058,84.0767,84.2888,84.539,84.8988,85.2456,85.2735,85.1968,85.4734
HND,Honduras,Medium,LAC,137,65.2428,65.7522,65.9909,66.2507,66.5743,67.139,67.4389,67.7772,62.7208,68.4216,68.6618,69.0061,69.3664,69.5071,69.7957,70.1041,70.2608,70.3765,70.4414,70.9113,71.0884,71.4386,71.7344,71.9629,72.2594,72.4871,72.5878,72.6918,72.8141,72.8811,71.4619,70.1229
HRV,Croatia,Very High,,40,72.2502,70.4879,72.7094,73.2173,73.7818,73.1864,73.9103,73.8463,73.9063,74.1188,74.5836,74.6436,74.7357,74.611,75.5016,75.4083,75.9889,75.8596,76.2096,76.3923,76.8049,77.2222,77.3401,77.8427,77.9533,77.5599,78.2314,78.0832,78.337,78.7376,77.9845,77.5804
HTI,Haiti,Low,LAC,163,52.9753,53.3907,53.842,54.3505,54.653,55.5471,56.1543,56.5164,57.1349,57.9606,58.3652,58.4886,58.8545,59.5065,58.4755,60.4153,60.7632,61.103,61.3322,61.7409,46.0185,61.6227,62.2915,62.6047,62.9875,63.2372,63.3922,63.8538,64.0188,64.2546,64.0518,63.1924
HUN,Hungary,Very High,,46,69.3715,69.4407,69.1671,69.1803,69.6044,69.9689,70.5973,71.0035,70.9185,71.04,71.7579,72.3942,72.5074,72.5137,72.906,72.8648,73.3444,73.4316,73.9576,74.1794,74.5192,74.9232,75.1808,75.6809,75.8474,75.6517,76.1552,76.0055,76.2039,76.4543,75.7297,74.5301
IDN,Indonesia,High,EAP,114,63.1807,63.5371,64.1264,64.5981,64.8562,65.2375,65.355,65.7331,65.9621,66.2206,66.4334,66.7577,67.1336,67.4126,65.7503,67.6492,67.9144,68.1893,68.2261,68.4936,68.6793,68.8228,68.973,69.2641,69.5333,69.6989,69.7976,69.9356,70.3375,70.5184,68.8077,67.5703
IND,India,Medium,SA,132,58.6516,59.0547,59.4524,59.8152,60.2158,60.5962,60.9841,61.3876,61.7919,62.2069,62.6693,63.0913,63.616,64.0942,64.5244,64.9955,65.4123,65.7884,66.149,66.5132,66.9086,67.359,67.8872,68.4598,69.0736,69.6363,70.1167,70.4672,70.7095,70.9098,70.1499,67.2398
IRL,Ireland,Very High,,8,74.8418,75.031,75.4278,75.2942,75.8013,75.4783,75.83,75.98,76.1889,76.094,76.5423,77.1087,77.5999,78.1107,78.5126,78.9162,79.1518,79.5547,79.7625,80.0461,80.5226,80.6332,80.7523,80.9675,81.3067,81.4163,81.5498,81.9168,82.0863,82.2586,82.4699,81.9976
IRN,Iran (Islamic Republic of),High,SA,76,64.3665,66.4589,66.7765,67.139,67.4684,67.7846,68.0696,68.359,68.73,69.2974,69.6909,69.9546,70.4454,69.8231,71.3703,71.8384,72.2761,72.772,72.6244,72.6979,73.0691,73.6786,74.186,74.4493,74.7825,75.1239,75.6,75.9712,76.195,76.1031,74.832,73.8749
IRQ,Iraq,Medium,AS,121,58.4355,62.519,66.7077,66.8969,66.7442,66.4641,66.3907,65.8372,65.4859,66.1816,66.8171,67.0339,67.0836,65.6427,65.0307,64.8438,63.5873,63.5527,64.9421,66.4457,67.0622,67.659,68.0232,68.2534,68.9136,69.4403,68.9878,70.4126,71.5143,71.5764,69.1228,70.3779
ISL,Iceland,Very High,,3,78.1628,77.8361,78.6183,78.7296,79.166,78.2237,78.6165,78.9938,79.4529,79.2297,79.8915,80.7039,80.5426,80.7763,80.9788,81.2416,81.2385,81.3511,81.3883,81.5565,81.7003,82.178,82.5564,81.9289,82.6133,82.3508,82.03,82.5352,82.7703,82.4042,82.5755,82.6782
ISR,Israel,Very High,,22,77.1942,77.0002,76.869,77.4502,77.6892,77.6352,78.2791,78.2718,78.4402,78.6971,78.9276,79.3448,79.2593,79.6242,80.1467,80.2171,80.5057,80.6651,81.0552,81.5756,81.7443,81.7274,81.7346,82.1154,82.2236,82.0999,82.4854,82.7195,82.8232,82.8123,82.3598,82.255
ITA,Italy,Very High,,30,76.9909,76.9891,77.3642,77.6524,77.8724,78.1161,78.4367,78.7334,78.8062,79.2044,79.6072,79.8859,80.1136,80.1929,81.0199,81.023,81.4169,81.5029,81.6466,81.7633,82.1371,82.235,82.2588,82.6599,82.908,82.5255,83.0492,82.7282,83.1847,83.552,82.3953,82.8502
JAM,Jamaica,High,LAC,110,72.3041,72.1862,72.1885,71.9215,71.7391,71.5487,71.4877,71.2066,70.9904,70.9677,70.9442,70.758,70.8882,70.8062,70.8603,71.0438,71.1993,71.4179,71.6122,72.1238,72.6219,73.0942,73.4335,73.4119,72.982,72.394,72.0198,71.9114,71.793,71.767,71.8686,70.5003
JOR,Jordan,High,AS,102,69.8538,70.0929,70.3163,70.518,70.6986,70.8699,71.0643,71.2725,71.4744,71.694,71.9178,72.1467,72.3585,72.5734,72.7725,72.9321,73.1449,73.3728,73.591,73.8014,73.9996,74.1891,74.3659,74.5621,74.7889,75.0112,75.2153,75.5018,75.7743,76.044,75.1843,74.2563
JPN,Japan,Very High,,19,78.9838,79.2519,79.2918,79.4342,79.8238,79.6702,80.3493,80.5718,80.6402,80.6079,81.1759,81.509,81.7953,81.8558,82.1309,82.012,82.3765,82.5544,82.6382,82.9742,82.9193,82.6756,83.1755,83.4107,83.6525,83.8928,84.0664,84.1976,84.2971,84.4258,84.6879,84.7839
KAZ,Kazakhstan,Very High,ECA,56,64.8758,64.4876,64.1593,64.1985,63.9631,63.7216,63.6327,63.7105,63.8123,63.9854,64.1781,64.3676,64.2693,64.5543,64.8566,65.117,65.627,65.928,66.7018,67.2789,68.1157,68.7452,69.1295,69.8136,70.3334,70.7265,70.8984,71.3958,71.4717,71.5675,70.0304,69.3622
KEN,Kenya,Medium,SSA,152,58.6145,58.0052,57.2589,56.6168,56.2727,55.617,55.1612,54.816,54.5264,54.4948,54.4112,54.5079,54.9896,55.601,56.3615,57.344,58.2222,58.8651,59.6141,60.3649,60.649,61.0458,61.1152,61.3891,61.8162,61.8922,62.1632,62.4808,62.6765,62.9432,62.6755,61.427
KGZ,Kyrgyzstan,Medium,ECA,118,64.2722,64.2799,64.0521,63.8221,63.7475,63.927,64.276,64.5854,65.1138,65.5818,65.3982,65.7632,65.8621,66.1857,66.2967,66.3854,66.7778,67.0064,67.2492,67.7835,68.254,68.5778,68.9933,69.2173,69.8862,69.9963,70.2761,70.5877,70.728,71.2301,69.6291,69.9774
KHM,Cambodia,Medium,EAP,146,55.4341,55.7927,56.0214,56.0803,56.0355,56.3076,56.3458,56.7434,57.0275,57.69,58.6253,59.9664,61.2262,62.5229,63.5524,64.2933,65.0593,65.7314,66.4698,67.4439,67.7123,68.4163,68.9149,69.3042,69.7364,69.8725,70.2244,70.5153,70.5609,70.6923,70.416,69.5835
KIR,Kiribati,Medium,EAP,136,60.9174,61.4222,61.8931,62.321,62.6973,63.0135,63.2909,63.5751,63.854,64.136,64.4091,64.655,64.8402,64.9539,64.9893,64.9666,64.9058,64.8436,64.8335,64.8924,65.0161,65.1901,65.3776,65.5884,65.8147,66.0589,66.3316,66.5965,66.8545,67.1497,67.2659,67.4172
KNA,Saint Kitts and Nevis,High,LAC,75,65.1875,66.1495,66.9718,67.5802,67.2936,67.1523,67.3127,67.8525,67.6902,68.7088,69.7815,70.1995,70.4518,70.7676,71.303,71.3616,71.2885,71.3668,71.3738,71.3927,71.2705,71.5378,71.669,71.457,70.9659,70.763,71.7405,71.8399,71.4671,71.5717,71.6266,71.6822
KOR,Korea (Republic of),Very High,,19,71.9401,72.4207,72.9564,73.283,73.6111,73.9409,74.2757,74.9707,75.4636,76.0027,76.4661,77.2697,77.5435,77.5473,78.006,78.5192,79.0754,79.48,80.0441,80.5759,80.763,81.2098,81.3473,81.8637,82.3781,82.5605,82.9259,83.2855,83.3427,83.6557,83.6089,83.6978
KWT,Kuwait,Very High,AS,50,73.2805,74.2164,75.6914,75.7944,75.7633,75.5368,75.6184,75.8787,76.1569,76.4159,76.722,76.8915,76.9822,76.9848,76.7924,76.9027,76.8868,77.0168,77.1455,77.4416,77.9817,78.4636,78.8118,79.1641,79.4449,79.5624,79.7011,79.7806,79.7217,79.685,76.9198,78.6729
LAO,Lao People's Democratic Republic,Medium,EAP,140,53.7128,54.4604,54.9521,55.4349,55.7495,56.3851,56.8905,57.2917,57.6646,57.8728,58.3779,59.0698,59.5342,60.0314,60.2929,60.9802,61.4929,62.0844,62.6029,63.2726,63.9731,64.7362,65.3554,65.7182,66.3605,66.67,67.1667,67.4344,67.6341,68.1382,68.4968,68.0608
LBN,Lebanon,High,AS,112,64.4747,71.1761,71.1924,71.3824,71.6808,72.0432,72.2931,72.7779,72.9436,73.4905,73.9309,74.3648,75.0642,75.5932,75.9761,76.2726,76.0796,77.0801,77.5844,77.8892,78.1559,78.4036,78.6284,78.7652,78.9727,79.2294,79.5054,79.6543,79.729,79.2359,77.8038,75.0472
LBR,Liberia,Low,SSA,178,36.6883,42.795,42.7378,42.1661,41.7956,43.9166,44.4188,47.8468,48.9009,49.9526,51.356,52.7518,53.7879,53.0424,56.0131,56.9117,57.6199,58.2845,58.7717,59.1942,59.4331,59.6198,59.9128,59.9426,59.1208,59.1485,60.4162,60.5535,60.8532,61.1044,60.9476,60.7472
LBY,Libya,High,AS,104,69.4231,69.8204,70.2324,70.4202,70.7063,71.0895,71.2843,71.1292,71.0788,71.0585,70.6804,70.8611,71.004,71.1322,71.4896,71.5917,71.7237,71.8628,72.2687,72.3555,72.3741,70.0707,72.2473,72.3397,71.5114,71.6982,71.756,72.4818,72.7938,72.4634,72.4722,71.9112
LCA,Saint Lucia,High,LAC,106,70.3261,70.6019,70.799,71.1142,70.9915,71.0024,70.9038,70.7747,70.6904,70.7094,70.7678,71.1345,71.472,71.7707,72.0276,72.2445,72.4654,72.5985,72.6977,72.7222,72.7196,72.944,72.8821,72.7353,72.8638,73.1381,73.1116,73.1275,73.3569,73.4449,73.416,71.1114
LIE,Liechtenstein,Very High,,16,75.8628,76.5068,77.2209,76.6858,78.6279,77.5759,76.8357,76.0915,77.8321,79.2801,76.9804,79.4788,79.8533,80.1791,82,80.8225,81.16,81.5032,82.8849,81.6802,81.9987,81.9326,82.4981,82.425,82.2187,82.8061,82.3932,83.8916,83.1462,84.3094,82.797,83.2575
LKA,Sri Lanka,High,SA,73,71.9268,71.7512,72.5298,73.052,72.8818,72.2601,72.2615,72.1364,72.081,72.6183,70.355,70.7866,71.1165,71.3726,67.0914,72.1182,71.9693,72.0488,71.7288,69.1873,73.215,73.38,73.9058,74.2388,74.6508,74.9275,75.3314,75.4035,75.748,76.0084,76.3929,76.3991
LSO,Lesotho,Low,SSA,168,59.3983,59.1931,58.555,57.9912,58.0183,56.7232,55.2321,53.5942,51.7833,50.0806,48.4266,46.8493,45.5946,44.5296,43.7108,43.2325,42.9136,43.1225,43.5657,44.034,45.5955,46.6919,47.8354,49.0024,50.0327,51.1014,52.2641,53.0636,53.733,54.1726,54.6933,53.062
LTU,Lithuania,Very High,,35,71.0085,70.5662,70.4432,68.9906,68.9107,69.3271,70.2314,70.9131,71.1886,71.5625,72.0888,71.7902,71.8008,72.1439,72.228,71.7418,71.5768,71.5366,72.417,73.1775,73.4236,73.9256,74.2029,74.3116,74.8426,74.6103,74.8816,75.4399,75.6767,76.2119,75.0676,73.7201
LUX,Luxembourg,Very High,,17,75.6045,75.8332,75.3879,75.9415,76.4662,76.7049,76.597,76.8887,77.0021,77.621,77.8112,78.1614,78.3607,77.7679,79.2197,79.4015,79.4147,79.4774,80.4718,80.6129,80.5731,80.7663,80.9818,81.3663,81.7343,81.8384,82.0535,81.734,81.8035,82.1434,81.4335,82.6287
LVA,Latvia,Very High,,39,69.1956,69.1698,68.7405,67.2309,66.2332,67.015,68.9333,69.3086,69.1628,69.9127,70.2517,70.0696,70.3509,70.6236,70.9252,70.7781,70.877,71.0566,72.0358,72.754,72.9538,73.6934,73.7447,74.1825,74.4319,74.6854,74.7535,74.8054,75.0012,75.5337,75.4526,73.5786
MAR,Morocco,Medium,AS,123,62.4478,62.9464,63.4015,63.8721,64.3461,64.7358,65.2381,65.6293,66.0176,66.4062,66.7869,67.1798,67.5468,67.915,68.231,68.7039,69.1282,69.604,70.0481,70.4578,70.8288,71.2691,71.6789,72.1223,72.5377,72.9197,73.284,73.6603,73.9863,74.2705,73.9199,74.0419
MCO,Monaco,,,,75.8078,76.3011,76.8424,77.4391,78.1133,78.7799,79.4195,80.0605,80.5857,81.085,81.5659,82.0539,82.5074,83.2861,84.2292,84.8081,84.6351,83.9201,83.1918,84.2081,84.6304,85.6032,84.5293,84.8656,84.8804,85.2585,85.7228,85.6525,86.4643,86.5424,86.538,85.9463
MDA,Moldova (Republic of),High,ECA,80,68.0673,66.9771,66.9605,66.5434,65.0701,65.0985,64.2414,65.1717,65.5054,65.5609,66.4168,66.7866,66.9379,67.4194,67.8612,68.1689,68.4794,68.9471,69.3936,69.5732,69.3569,69.1919,69.1431,69.0988,69.0307,69.2396,69.9169,70.5155,70.4916,70.9351,70.1665,68.8459
MDG,Madagascar,Low,SSA,173,51.7009,52.3566,53.0386,53.906,54.4362,54.9612,55.522,56.2233,56.9169,57.3717,57.9382,58.5702,58.8925,59.491,60.1487,60.5697,61.3152,61.7571,62.1418,62.7343,62.8729,63.4942,63.5436,63.9616,64.2553,64.339,64.9969,65.0938,65.2697,65.8821,65.182,64.4853
MDV,Maldives,High,SA,90,63.5777,64.3044,65.0067,65.7392,66.5106,67.476,68.7023,69.2255,69.5716,70.0878,70.8759,72.1809,73.2915,74.0602,73.5379,74.7506,75.1296,75.6858,76.5428,77.0689,77.6573,78.1245,78.6822,79.0566,79.424,79.6953,79.872,79.9429,80.0132,80.116,79.8747,79.9182
MEX,Mexico,High,LAC,86,69.9707,70.2977,70.6161,70.9423,71.2787,71.6457,72.0369,72.4454,72.8448,73.2249,73.5692,73.8668,74.1059,74.2743,74.372,74.3765,74.3313,74.2384,74.1524,74.119,74.1901,74.3651,74.574,74.7391,74.7974,74.6822,74.4122,74.1378,74.0146,74.2021,70.1328,70.2127
MHL,Marshall Islands,Medium,EAP,131,62.1758,62.2817,62.3834,62.4759,62.5584,62.774,63.0339,63.2253,63.3636,63.48,63.2748,63.6425,63.7195,63.7451,63.6954,63.5852,63.4894,63.3597,63.2355,63.2295,63.2261,63.2558,63.3733,63.4642,63.6229,63.8274,64.0569,64.2696,64.5001,64.7458,64.977,65.2688
MKD,North Macedonia,High,ECA,78,71.1968,71.8149,71.2002,71.88,71.491,71.6738,72.2347,72.2737,72.4047,72.7739,72.8567,73.233,73.1458,73.3865,73.7816,73.7446,73.9988,73.9042,74.5326,74.7186,75.1187,75.1869,75.1399,75.8657,75.9347,75.9814,76.0296,76.4766,77.3142,77.2928,75.1677,73.8415
MLI,Mali,Low,SSA,186,46.6204,47.2164,47.4957,47.7325,47.7415,47.8157,47.7916,48.5312,49.1643,49.7966,50.5393,51.2838,52.2222,52.8926,53.5385,54.0029,54.6149,54.9411,55.2907,55.8745,56.3817,56.7553,57.0792,57.3567,57.9003,58.3632,58.7313,59.1322,59.3934,59.6637,58.6331,58.9414
MLT,Malta,Very High,,23,75.9846,75.4583,75.3819,76.6963,76.6209,77.0909,76.1885,77.3231,77.7172,77.8655,77.58,79.015,78.4667,78.7634,79.1944,79.6465,79.7788,80.0877,80.0945,80.676,81.8134,81.1465,81.3905,82.0149,82.7362,82.9621,83.1107,83.5867,83.3448,83.2065,83.3545,83.7769
MMR,Myanmar,Medium,EAP,149,56.6607,57.0135,57.2511,57.6313,57.9564,58.259,58.9408,59.2429,59.7936,59.8806,60.1546,60.4159,60.7248,60.9803,61.2496,61.5985,61.8931,62.3709,56.5056,63.1547,63.3294,63.9007,64.1412,64.8148,65.0563,65.5613,65.685,65.843,66.4646,66.6104,66.797,65.6716
MNE,Montenegro,Very High,ECA,49,75.5211,75.5333,74.3526,74.6517,73.3894,74.1951,73.5833,73.5693,73.3662,72.7553,73.9793,74.2326,74.0432,74.0749,74.6954,74.262,74.0494,74.5255,75.305,75.2687,76.1387,76.0684,76.3268,76.6085,76.7465,76.7561,76.7462,76.9388,77.1595,77.0396,76.2575,76.3426
MNG,Mongolia,High,EAP,96,58.7649,59.2369,59.6413,60.038,60.4048,60.6125,60.305,60.8154,61.7647,62.5293,62.8821,63.2786,63.5178,64.2078,64.7955,64.8787,65.5128,65.9701,66.3821,66.7658,67.1822,67.4393,68.1114,68.5854,69.0472,69.4977,69.8647,70.2375,71.1992,71.8221,72.141,70.9754
MOZ,Mozambique,Low,SSA,185,44.469,44.6596,44.9492,45.3543,45.6065,46.04,46.6362,47.4078,48.0241,48.812,49.4912,50.0653,50.5895,50.8696,51.2495,51.561,51.961,52.5664,53.1639,53.7876,54.1984,54.869,55.6387,56.4919,57.2742,58.1509,59.038,59.7709,60.5261,61.1662,61.1722,59.3247
