ISO3,Country,hdicode,region,hdi_rank_2021,gnipc_1990,gnipc_1991,gnipc_1992,gnipc_1993,gnipc_1994,gnipc_1995,gnipc_1996,gnipc_1997,gnipc_1998,gnipc_1999,gnipc_2000,gnipc_2001,gnipc_2002,gnipc_2003,gnipc_2004,gnipc_2005,gnipc_2006,gnipc_2007,gnipc_2008,gnipc_2009,gnipc_2010,gnipc_2011,gnipc_2012,gnipc_2013,gnipc_2014,gnipc_2015,gnipc_2016,gnipc_2017,gnipc_2018,gnipc_2019,gnipc_2020,gnipc_2021
PAK,Pakistan,Low,SA,161,2841.108123,2897.623598,3033.304323,2993.495695,3015.195108,3080.786081,3133.871249,3062.757287,3039.77297,3097.34912,3160.71069,3183.551161,3178.95183,3303.05547,3485.40969,3631.120554,3761.372437,3838.637771,3820.418166,3829.371862,3835.512924,3873.460978,3924.479886,4006.327569,4105.228942,4207.010308,4337.277938,4495.95069,4657.880392,4603.556579,4467.236365,4623.70543
PAN,Panama,Very High,LAC,61,10345.7302,10835.33289,11607.9439,12213.17156,12422.53556,12073.57371,12624.24466,12991.95048,13561.54747,13641.53182,13916.19982,13697.412,14112.94023,13830.48774,14485.08764,15160.22658,16175.33969,18076.96739,19490.87979,19485.59856,19709.25201,22130.70521,23552.35182,24829.3662,24968.40656,26599.68394,27197.93332,28606.48873,28869.22802,29342.25437,23694.26665,26956.83707
PER,Peru,High,LAC,84,4943.405647,5137.237402,4990.049823,5133.395794,5629.329259,5912.585584,6041.510865,6334.454835,6260.683714,6251.097403,6297.773346,6293.027047,6529.782834,6672.764496,6813.762314,7094.575199,7385.388794,7970.525079,8722.217969,8806.392101,9317.266284,9796.887413,10448.87879,11112.59152,11339.08417,11705.74373,11899.5399,11931.12893,12142.66015,12303.68873,10916.70628,12245.89366
PHL,Philippines,Medium,EAP,116,4139.583826,4066.710963,4043.349832,4054.99227,4178.477238,4280.567584,4458.054948,4651.226901,4932.066665,4967.006117,4895.57739,4939.264696,5012.017662,5154.074008,5374.084173,5556.405859,5719.636042,5976.078269,6149.84805,6268.008357,6600.766809,6697.516565,7055.385918,7458.801515,7789.275253,8143.543154,8564.17134,9016.762194,9414.447797,9790.637367,8558.594619,8920.428468
PLW,Palau,High,EAP,80,13380.2102,14485.6921,13196.84708,11706.96687,12181.22635,13414.65806,13830.93761,13584.61634,13149.66827,12928.07308,13538.19512,13636.88755,13989.9524,14168.38155,14444.56106,17652.04713,17737.87856,18594.95734,17752.22216,16818.91756,17068.63254,18214.66845,18412.20426,17858.55621,18788.42494,20005.08443,19783.90768,18910.23865,19877.82994,18740.42054,16839.04834,13818.67869
PNG,Papua New Guinea,Medium,EAP,156,2037.130804,2192.196024,2454.136759,2925.908175,3526.05352,3276.687312,3368.492756,3082.639473,3148.43598,3141.983548,2997.575613,2935.452382,2946.513842,3023.368388,2754.273502,2781.965113,2671.025061,2883.822296,2867.675037,2932.028941,3151.262314,3049.077815,3275.397147,3228.860857,3841.677693,4009.373118,4175.769454,4201.135296,4082.831293,4166.066492,4022.073953,4008.623573
POL,Poland,Very High,,34,11133.69745,10122.21177,10237.20465,10665.09785,11564.26723,12273.67485,13112.10744,13944.18476,14590.85743,15283.86066,16177.11083,16401.17345,16740.2735,17231.43437,17707.89652,18610.39132,19685.71892,20882.84428,22011.45139,22400.26843,23207.36326,24307.20371,24660.27546,24971.27568,25724.2512,26821.51433,27466.79559,28817.10086,30369.76617,31838.9708,31164.47794,33033.96081
PRK,Korea (Democratic People's Rep. of),,EAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRT,Portugal,Very High,,38,22852.76332,23854.19104,24140.77949,23559.85384,23572.05132,24588.11941,25140.9191,26014.46984,27417.18869,28500.60595,28671.51922,29112.95799,29484.44685,29338.71435,29701.17472,29777.58843,29778.5573,30537.20511,30147.68603,29783.32249,30139.45026,29884.279,28625.27535,29016.09421,29339.43433,30186.54091,31170.51606,32269.04155,33134.17013,34078.58487,31636.80056,33154.53343
PRY,Paraguay,High,LAC,105,8212.272417,8132.944682,7980.975906,8120.487152,8187.072941,8360.485898,8800.24637,8673.80132,8479.868689,8170.28664,7479.681232,7372.0369,7400.037724,6982.835568,7313.92887,7430.442505,7967.30967,8677.024029,9225.986476,9041.02233,9908.752523,10334.62582,10038.18831,10762.37759,11221.46549,11388.39108,11681.90319,12174.12219,12402.40912,12241.66584,12015.54396,12349.286
